County,Year,Voluntary Market - Number of New Policies,Voluntary Market - Number of Renewed Policies,Voluntary Market - Number of Non-Renewed Policies Insured-Initiated,Voluntary Market - Number of Non-Renewed Policies Insurer-Initiated,California FAIR Plan - Number of New Policies,California FAIR Plan - Number of Renewed Policies
,2015,63013,430628,47974,13234,3340,6038
SAN DIEGO,2020,82950,609155,62613,18594,4381,7292
,2019,90395,598522,62904,26476,4004,4745
,2018,74351,607889,57251,13649,1127,4258
,2017,75157,605826,59171,12106,1109,4062
,2016,74704,604458,58263,13691,1131,3838
,2015,73096,600206,56127,13738,1242,3429
SAN FRANCISCO,2020,10720,118274,8963,1649,49,325
,2019,10646,117360,9225,1483,53,362
,2018,10207,117321,8494,1335,51,408
,2017,10556,117054,8784,1543,55,424
,2016,10519,116405,8490,1889,51,447
,2015,10847,115883,8949,1931,41,473
SAN JOAQUIN,2020,25328,161584,18295,4337,92,408
,2019,24917,158040,18545,3621,90,397
,2018,24737,155805,18396,3834,42,447
,2017,24689,154964,19034,4400,74,475
,2016,24264,153789,18201,4557,63,488
,2015,23342,150913,17130,4678,77,505
SAN LUIS OBISPO,2020,10236,79771,7482,2032,385,377
,2019,10196,78348,7232,1924,236,209
,2018,9059,78473,6800,1441,68,180
,2017,8821,77581,6810,1284,74,145
,2016,9045,77239,6786,1629,48,118
,2015,9126,76086,6539,1620,50,103
SAN MATEO,2020,14748,153694,12400,2215,272,298
,2019,14563,152925,12348,1881,233,177
,2018,13877,152854,11533,1654,65,164
,2017,14066,153228,11625,1835,76,137
,2016,14111,152037,11219,2430,60,119
,2015,14324,151802,11702,2313,58,104
SANTA BARBARA,2020,10316,86279,7487,2338,850,821
,2019,10607,85457,7594,2337,550,424
,2018,9366,85947,7003,1699,88,420
,2017,9461,85292,6973,1490,67,462
,2016,9480,85061,6903,1979,88,472
,2015,9381,84126,6636,1975,91,462
SANTA CLARA,2020,39297,354449,32654,5470,385,787
,2019,39589,352630,33101,4895,300,643
,2018,38390,351978,31724,4819,122,671
,2017,38687,351823,31493,5322,91,685
,2016,37168,350728,30089,5659,95,726
,2015,38440,348151,31168,5707,96,763
SANTA CRUZ,2020,7767,68305,5881,2321,1088,791
,2019,7262,68257,5069,1710,576,423
,2018,6471,68920,5061,1149,159,275
,2017,6409,68782,4958,1301,119,241
,2016,6466,68580,4902,1490,104,213
